Hotel Name,Address,Distance,Rating,Price
Hotel Viminale,"Rione Monti, Rome",1.1 km from center,9.5,"TL 164,784"
Joyful Termini Boutique Guest House,"Central Station, Rome",1.5 km from center,8.8,"TL 109,741"
Matilda Guesthouse Trastevere 8 posti letto,"Gianicolense, Rome",2.5 km from center,8.7,"TL 116,955"
Iaio River Suite,"Aventino, Rome",2 km from center,8.7,"TL 96,100"
Take me Rome - Roman Forum Apartments,"Rione Monti, Rome",0.6 km from center,8.5,"TL 126,964"
City Guest House,"Appio Latino, Rome",6.8 km from center,8.3,"TL 68,921"
Cicero Rome Center,"Via Veneto, Rome",1.8 km from center,8.1,"TL 100,755"
hu Roma Camping In Town,"Aurelio, Rome",6.5 km from center,7.8,"TL 38,420"
The Spanish Suite Campo de' Fiori,"Navona, Rome",0.7 km from center,7.5,"TL 126,387"
Rooms Piramide,"Aventino, Rome",2.5 km from center,7.0,"TL 48,511"
